orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Degree,PronType
ἐλπὶς,ἐλπὶς,ἐλπὶς,ἐλπὶς,ὶς,ε,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nsubj,0.0,ἀνῃρημένου,(),False,x̓xxx̀x,False,False,False,False,Nom,Fem,Sing,,,,,,,,
ἄν,ἄν,ἄν,ἄν,̓́ν,α,-20.0,ADV,d--------,,advmod,0.0,παρασχεῖν,(),False,x̓́x,False,False,False,False,,,,,,,,,,,
ἦν,ἦν,ἦν,ἦν,̓͂ν,η,-20.0,AUX,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,cop,0.0,παρασχεῖν,(),False,x̓͂x,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,Imp,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,θεὸν,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,,
θεὸν,θεὸν,θεὸς,θεὸν,ὸν,θ,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,nsubj,0.0,φιλάρετον,(),False,xxx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,,
ἅτε,ἅτε,ἅτε,ἅτε,́τε,α,-20.0,ADV,d--------,,advmod,0.0,φιλάρετον,(),False,x̔́xx,False,False,False,False,,,,,,,,,,,
φιλάρετον,φιλάρετον,φιλάρετος,φιλάρετον,τον,φ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,xcomp,0.0,παρασχεῖν,"(φιλόκαλον, φιλάνθρωπον)",False,xxxx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,φιλάρετον,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
φιλόκαλον,φιλόκαλον,φιλόκαλος,φιλόκαλον,λον,φ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,conj,0.0,φιλάρετον,"(φιλάρετον, φιλάνθρωπον)",False,xxxx́xxxx,False,False,False,False,Acc,Masc,Sing,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,φιλάρετον,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
